53,3,18,3,processed,290 jpg images,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.monjas.sfmg,sfm,null
54,4,18,3,processed,724 jpg images,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.monjas.sfma,sfm,null
55,3,18,3,processed,"745 jpg images, of small building north of monjas, northeast of iglesias, need name ",2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.side.monjas.sfmg,sfm,null
56,3,18,3,processed,6307 jpg images,2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.monjas.sfmg,sfm,null
57,4,18,3,processed,"447 jpg images, connecting monjas and iglesia ",2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.conjunto.monjas.orbit.sfma,sfm,null
58,4,19,3,processed,"17 jpg images, exterior only harsh lighting ",2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.iglesia.monjas.sfmg,sfm,null
59,4,19,3,processed,"648 jpg images, exterior only ",2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.iglesia.sfmg,sfm,null
60,3,20,3,processed,1386 jpg images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.arco.sfma,sfm,null
61,1,20,3,processed,389 jpg images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.arco.sfmg,sfm,null
62,4,21,3,null,null,null,null,null,null
63,3,22,3,processed,"2089 jpg images, Galeras Lunas Exterior. why two days? how do models differ? ",2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.galeria.luna.casa.falos.sfmg,sfm,null
64,4,22,3,processed,"1353 jpg images,covering Galeras Lunas exterior and Casa Falos hy two days? how do models differ? ",2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.galeria.luna.casa.falos.sfma,sfm w/ control points ,null
65,3,22,3,processed,"5767 jpg images, Galeras Lunas interior and Exterior ",2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.galera.luna.casa.falcos.sfmg,sfm,null
